Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
Samsung Galaxy S4,Samsung,Galaxy S4,2600,5,Yes,1080,1920,8,2000,16,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,57915,$650 ,13-Apr,879.775,6.78 
BlackBerry Q10,BlackBerry,Q10,2100,3.1,Yes,720,720,1,2000,16,8,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,9899,$600 ,13-Apr,812.1,6.70 
Sony Xperia SP,Sony,Xperia SP,2370,4.6,Yes,720,1280,2,1000,8,8,0.3,Android,Yes,Yes,Yes,1,Yes,Yes,21490,$400 ,13-Apr,541.4,6.29 
Gionee Elife E3,Gionee,Elife E3,1800,4.7,Yes,720,1280,4,1000,16,8,2,Android,Yes,Yes,Yes,2,Yes,No,6499,$180 ,13-Apr,243.63,5.50 
LG G2,LG,G2,3000,5.2,Yes,1080,1920,4,2000,16,13,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,22499,$600 ,13-Aug,812.1,6.70 
Motorola Moto X,Motorola,Moto X,2200,4.7,Yes,720,1280,2,2000,16,10,2,Android,Yes,Yes,Yes,1,Yes,Yes,15000,$580 ,13-Aug,785.03,6.67 
HTC Desire 500,HTC,Desire 500,1800,4.3,Yes,480,800,4,1000,4,8,1.6,Android,Yes,Yes,Yes,2,Yes,No,19000,$300 ,13-Aug,406.05,6.01 
BlackBerry 9720,BlackBerry,9720,1450,2.8,Yes,360,480,1,512,0.512,5,0,BlackBerry,Yes,Yes,Yes,1,Yes,No,7500,$235 ,13-Aug,318.0725,5.76 
Gionee Elife E7,Gionee,Elife E7,2500,5.5,Yes,1080,1920,4,2000,16,16,8,Android,Yes,Yes,Yes,1,Yes,Yes,3699,$440 ,13-Dec,595.54,6.39 
Oppo R1,Oppo,R1,2410,5,Yes,720,1280,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,No,11735,$400 ,13-Dec,541.4,6.29 
Xolo Q3000,Xolo,Q3000,4000,5.7,Yes,1080,1920,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,18138,$300 ,13-Dec,406.05,6.01 
Gionee Pioneer P3,Gionee,Pioneer P3,1700,4.3,Yes,480,800,4,512,4,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,7494,$110 ,13-Dec,148.885,5.00 
Xolo Q1000 Opus,Xolo,Q1000 Opus,2000,5,Yes,480,854,4,1000,4,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,9499,$150 ,13-Dec,203.025,5.31 
Sony Xperia Z,Sony,Xperia Z,2330,5,Yes,1080,1920,4,2000,16,13.1,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,32490,$630 ,13-Feb,852.705,6.75 
Nokia Lumia 520,Nokia,Lumia 520,1430,4,Yes,480,800,2,512,8,5,0,Windows,Yes,Yes,Yes,1,Yes,No,3850,$130 ,13-Feb,175.955,5.17 
LG Optimus L3 II Dual,LG,Optimus L3 II Dual,1540,3.2,Yes,240,320,1,512,4,3,0,Android,Yes,Yes,Yes,2,Yes,No,1999,$120 ,13-Feb,162.42,5.09 
Nokia Lumia 620,Nokia,Lumia 620,1300,3.8,Yes,480,800,2,512,8,5,0.3,Windows,Yes,Yes,Yes,1,Yes,No,4999,$250 ,13-Jan,338.375,5.82 
BlackBerry Z10,BlackBerry,Z10,1800,4.2,Yes,768,1280,2,2000,16,8,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,5500,$700 ,13-Jan,947.45,6.85 
Samsung Galaxy Grand Duos,Samsung,Galaxy Grand Duos,2100,5,Yes,480,800,2,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,8999,$370 ,13-Jan,500.795,6.22 
Nokia Lumia 1020,Nokia,Lumia 1020,2000,4.5,Yes,768,1280,2,2000,32,41,1.2,Windows,Yes,Yes,Yes,1,Yes,Yes,10990,$650 ,13-Jul,879.775,6.78 
Spice Pinnacle FHD,Spice,Pinnacle FHD,2100,5,Yes,1080,1920,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,5999,$300 ,13-Jul,406.05,6.01 
Gionee Elife E6,Gionee,Elife E6,2000,5,Yes,1080,1920,4,2000,32,13,5,Android,Yes,Yes,Yes,1,Yes,No,21450,$400 ,13-Jul,541.4,6.29 
Micromax Canvas 4,Micromax,Canvas 4,2000,5,Yes,720,1280,4,1000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,5199,$295 ,13-Jul,399.2825,5.99 
Nokia Lumia 625,Nokia,Lumia 625,2000,4.7,Yes,480,800,2,512,8,5,0.3,Windows,Yes,Yes,Yes,1,Yes,Yes,4999,$290 ,13-Jul,392.515,5.97 
Xolo Play T1000,Xolo,Play T1000,2000,4.7,Yes,720,1280,4,1000,4,8,2,Android,Yes,Yes,Yes,1,Yes,No,14153,$260 ,13-Jul,351.91,5.86 
Lava Iris 504q,Lava,Iris 504q,2000,5,Yes,720,1280,4,1000,4,8,2,Android,Yes,Yes,Yes,2,Yes,No,9499,$230 ,13-Jun,311.305,5.74 
