Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
Lenovo P780,Lenovo,P780,4000,5,Yes,720,1280,4,1000,4,8,0.3,Android,Yes,Yes,Yes,2,Yes,No,15410,$190 ,13-Jun,257.165,5.55 
Samsung Galaxy S4 Zoom,Samsung,Galaxy S4 Zoom,2330,4.3,Yes,560,960,2,1000,8,16,1.9,Android,Yes,Yes,Yes,1,Yes,Yes,15990,$450 ,13-Jun,609.075,6.41 
HTC Desire 600,HTC,Desire 600,1860,4.5,Yes,540,960,4,1000,8,8,1.6,Android,Yes,Yes,Yes,2,Yes,No,22500,$400 ,13-Jun,541.4,6.29 
BlackBerry Q5,BlackBerry,Q5,2180,3.1,Yes,720,720,2,2000,8,5,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,10800,$400 ,13-May,541.4,6.29 
Samsung Galaxy Mega 5.8,Samsung,Galaxy Mega 5.8,2600,5.8,Yes,540,960,2,1000,8,8,1.9,Android,Yes,Yes,Yes,2,Yes,No,6999,$450 ,13-May,609.075,6.41 
Nokia Asha 501,Nokia,Asha 501,1200,3,Yes,240,320,1,64,0.128,3.2,0,Cyanogen,Yes,Yes,No,2,No,No,4999,$100 ,13-May,135.35,4.91 
Samsung Galaxy Grand 2,Samsung,Galaxy Grand 2,2600,5.2,Yes,720,1280,4,1000,8,8,1.9,Android,Yes,Yes,Yes,2,Yes,Yes,15999,$370 ,13-Nov,500.795,6.22 
Motorola Moto G,Motorola,Moto G,2070,4.5,Yes,720,1280,4,1000,8,5,1.3,Android,Yes,Yes,Yes,2,Yes,No,9999,$180 ,13-Nov,243.63,5.50 
Nokia Lumia 525,Nokia,Lumia 525,1430,4,Yes,480,800,2,1000,8,5,0,Windows,Yes,Yes,Yes,1,Yes,No,7500,$200 ,13-Nov,270.7,5.60 
Xolo Q2000,Xolo,Q2000,2600,5.5,Yes,720,1280,4,1000,8,13,2,Android,Yes,Yes,Yes,2,Yes,No,14534,$250 ,13-Nov,338.375,5.82 
Google Nexus 5,LG,Google Nexus 5,2300,4.95,Yes,1080,1920,4,2000,16,8,1.3,Android,Yes,Yes,Yes,1,Yes,Yes,12000,$349 ,13-Oct,472.3715,6.16 
Nokia Lumia 1520,Nokia,Lumia 1520,3400,6,Yes,1080,1920,4,2000,32,20,1.2,Windows,Yes,Yes,Yes,1,Yes,Yes,34990,$549 ,13-Oct,743.0715,6.61 
Nokia Asha 502,Nokia,Asha 502,1010,3,Yes,240,320,1,64,0.064,5,0,Cyanogen,Yes,Yes,No,2,No,No,3499,$90 ,13-Oct,121.815,4.80 
Micromax Canvas Turbo,Micromax,Canvas Turbo,2000,5,Yes,1080,1920,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,17490,$300 ,13-Oct,406.05,6.01 
Nokia Lumia 1320,Nokia,Lumia 1320,3400,6,Yes,720,1280,2,1000,8,5,0.3,Windows,Yes,Yes,Yes,1,Yes,Yes,9960,$339 ,13-Oct,458.8365,6.13 
LG G Pro Lite,LG,G Pro Lite,3140,5.5,Yes,540,960,2,1000,8,8,1.3,Android,Yes,Yes,Yes,2,Yes,No,5899,$400 ,13-Oct,541.4,6.29 
Apple iPhone 5c,Apple,iPhone 5c,1507,4,Yes,640,1136,2,1000,8,8,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,8499,$549 ,13-Sep,743.0715,6.61 
Xiaomi Mi 3,Xiaomi,Mi 3,3050,5,Yes,1080,1920,4,2000,16,13,2,Android,Yes,Yes,Yes,1,Yes,No,13999,$330 ,13-Sep,446.655,6.10 
Samsung Galaxy Note 3,Samsung,Galaxy Note 3,3200,5.7,Yes,1080,1920,8,3000,32,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,50650,$700 ,13-Sep,947.45,6.85 
Sony Xperia Z1,Sony,Xperia Z1,3000,5,Yes,1080,1920,1,2000,16,20.7,2,Android,Yes,Yes,Yes,1,Yes,Yes,56699,$670 ,13-Sep,906.845,6.81 
BlackBerry Z30,BlackBerry,Z30,2880,5,Yes,720,1280,2,2000,16,8,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,8300,$499 ,13-Sep,675.3965,6.52 
