,Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,year
149,Motorola Moto X4,Motorola,Moto X4,3000,5.2,Yes,1080,1920,8,3000,32,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,12500,400.00 ,
150,Moto G5S Plus,Motorola,Moto G5S Plus,3000,5.5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8500,280.00 ,
151,Redmi 5,Xiaomi,Redmi 5,3300,5.7,Yes,720,1440,8,2000,16,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,6499,135.00 ,
152,Redmi Note 5,Xiaomi,Redmi Note 5,4000,5.99,Yes,1080,2160,8,3000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,8699,155.00 ,
153,Jio Phone,Jio,Phone,2000,2.4,No,240,320,2,512,4,2,0.3,Cyanogen,Yes,Yes,Yes,1,No,Yes,1249,20.00 ,
154,Samsung Galaxy On Max,Samsung,Galaxy On Max,3300,5.7,Yes,1080,1920,8,4000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,9890,260.00 ,
155,Motorola Moto Z2 Play,Motorola,Moto Z2 Play,3000,5.5,Yes,1080,1920,8,4000,64,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,10499,499.00 ,
156,Yu Yureka Black,Yu,reka Black,3000,5,Yes,1080,1920,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,5990,140.00 ,
157,Xiaomi Mi Max 2,Xiaomi,Mi Max 2,5300,6.44,Yes,1080,1920,8,4000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,8999,250.00 ,
158,Coolpad Cool Play 6,Coolpad,Cool Play 6,4060,5.5,Yes,1080,1920,8,6000,64,13,8,Android,Yes,Yes,No,2,No,Yes,8999,235.00 ,
159,OnePlus 5,OnePlus,5,3300,5.5,Yes,1080,1920,8,6000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,17499,479.00 ,
160,Asus ZenFone Zoom S,Asus,ZenFone Zoom S,5000,5.5,Yes,1080,1920,8,4000,64,12,13,Android,Yes,Yes,Yes,2,Yes,Yes,26999,329.00 ,
161,Honor 8 Pro,Honor,8 Pro,4000,5.7,Yes,1440,2560,8,6000,128,12,8,Android,Yes,Yes,Yes,2,No,Yes,17586,480.00 ,
162,Micromax Dual 5,Micromax,Dual 5,3200,5.5,Yes,1080,1920,8,4000,128,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,13999,365.00 ,
163,Oppo F3 Plus,Oppo,F3 Plus,4000,6,Yes,1080,1920,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,13990,475.00 ,
164,Sony Xperia XZ Premium,Sony,Xperia XZ Premium,3230,5.5,Yes,2160,3840,8,4000,64,19,13,Android,Yes,Yes,Yes,2,Yes,Yes,33500,800.00 ,
165,Motorola Moto G5 Plus,Motorola,Moto G5 Plus,3000,5.2,Yes,1080,1920,8,3000,16,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,10900,229.00 ,
166,Asus ZenFone 3S Max,Asus,ZenFone 3S Max,5000,5.2,Yes,720,1280,8,3000,32,13,8,Android,Yes,Yes,No,2,Yes,Yes,14999,220.00 ,
167,Samsung Galaxy C7 Pro,Samsung,Galaxy C7 Pro,3300,5.7,Yes,1080,1920,1,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,16999,400.00 ,
168,HTC U Play,HTC,U Play,2500,5.2,Yes,1080,1920,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,15500,440.00 ,
169,HTC U Ultra,HTC,U Ultra,3000,5.7,Yes,1440,2560,4,4000,64,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,54665,749.00 ,
170,Asus ZenFone AR,Asus,ZenFone AR,3300,5.7,Yes,1440,2560,4,8000,128,23,8,Android,Yes,Yes,Yes,2,Yes,Yes,49999,599.00 ,
171,Xiaomi Redmi 4A,Xiaomi,Redmi 4A,3120,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6999,75.00 ,
172,Xiaomi Redmi 4,Xiaomi,Redmi 4,4100,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8999,105.00 ,
173,Nubia Z11 mini S,Nubia,Z11 mini S,3000,5.2,Yes,1080,1920,8,4000,64,23,13,Android,Yes,Yes,Yes,2,Yes,Yes,16999,220.00 ,
174,Lenovo Z2 Plus,Lenovo,Z2 Plus,3500,5,Yes,1080,1920,4,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,11499,300.00 ,
175,LG V20,LG,V20,3200,5.7,Yes,1440,2560,4,4000,64,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,26999,799.00 ,
176,Lenovo K6 Power,Lenovo,K6 Power,4000,5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8500,150.00 ,
177,Sony Xperia XZ,Sony,Xperia XZ,2900,5.2,Yes,1080,1920,4,3000,64,23,13,Android,Yes,Yes,Yes,2,Yes,Yes,11999,700.00 ,
178,Samsung Galaxy J7 Prime,Samsung,Galaxy J7 Prime,3300,5.5,Yes,1080,1920,8,3000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,15995,285.00 ,
179,Motorola Moto Z Play,Motorola,Moto Z Play,3510,5.5,Yes,1080,1920,8,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,8990,449.00 ,
180,Xiaomi Redmi Note 4,Xiaomi,Redmi Note 4,4100,5.5,Yes,1080,1920,8,2000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9990,180.00 ,
181,Xiaomi Redmi 3S Prime,Xiaomi,Redmi 3S Prime,4100,5,Yes,720,1280,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8000,135.00 ,
182,Motorola Moto Z,Motorola,Moto Z,2600,5.5,Yes,1440,2560,4,4000,64,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,11999,699.00 ,
183,Asus ZenFone 3 (ZE552KL),Asus,ZenFone 3 (ZE552KL),3000,5.5,Yes,1080,1920,8,4000,64,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,14999,399.00 ,
184,Smartron t.phone,Smartron,t.phone,3000,5.5,Yes,1080,1920,8,4000,32,13,4,Android,Yes,Yes,Yes,2,Yes,Yes,5490,360.00 ,
185,Motorola Moto G4 Plus,Motorola,Moto G4 Plus,3000,5.5,Yes,1080,1920,8,2000,16,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,5999,250.00 ,
186,Coolpad Max,Coolpad,Max,2800,5.5,Yes,1080,1920,8,4000,64,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8499,370.00 ,
187,Xiaomi Mi Max,Xiaomi,Mi Max,4850,6.44,Yes,1080,1920,6,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,11990,230.00 ,
188,Lenovo Zuk Z1,Lenovo,Zuk Z1,4100,5.5,Yes,1080,1920,4,3000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7499,300.00 ,
189,LeEco Le 2,LeEco,Le 2,3000,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,6999,180.00 ,
190,LeEco Le Max 2,LeEco,Le Max 2,3100,5.7,Yes,1440,2560,4,4000,32,21,8,Android,Yes,Yes,Yes,2,Yes,Yes,7790,390.00 ,
191,Huawei P9,Huawei,P9,3000,5.2,Yes,1080,1920,8,3000,32,12,8,Android,Yes,Yes,Yes,1,Yes,Yes,39999,600.00 ,
192,Apple iPhone SE,Apple,iPhone SE,1624,4,Yes,640,1136,1,2000,16,12,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,16999,399.00 ,
193,LG G5,LG,G5,2800,5.3,Yes,1440,2560,4,4000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,10999,650.00 ,
194,Oppo F1,Oppo,F1,2500,5,Yes,720,1280,8,3000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8999,250.00 ,
195,Samsung Galaxy A5 (2016),Samsung,Galaxy A5 (2016),2900,5.2,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,19990,400.00 ,
196,Xiaomi Redmi Note 3,Xiaomi,Redmi Note 3,4050,5.5,Yes,1080,1920,6,2000,16,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,6899,180.00 ,
197,HTC One A9,HTC,One A9,2150,5,Yes,1080,1920,8,3000,32,13,4,Android,Yes,Yes,Yes,1,Yes,Yes,30149,499.00 ,
198,BlackBerry Priv,BlackBerry,Priv,3410,5.4,Yes,1440,2560,6,3000,32,18,2,Android,Yes,Yes,Yes,1,Yes,Yes,19999,699.00 ,
199,Google Nexus 5X,LG,Google Nexus 5X,2700,5.2,Yes,1080,1920,6,2000,16,12.3,5,Android,Yes,Yes,Yes,1,Yes,Yes,25990,379.00 ,
200,Apple iPhone 6s,Apple,iPhone 6s,1715,4.7,Yes,750,1334,2,2000,16,12,5,iOS,Yes,Yes,Yes,1,Yes,Yes,22999,649.00 ,
201,Lenovo Vibe P1,Lenovo,Vibe P1,4900,5.5,Yes,1080,1920,8,2000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,15999,280.00 ,
202,Lenovo Vibe S1,Lenovo,Vibe S1,2420,5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,10990,300.00 ,
203,Samsung Galaxy S6 Edge+,Samsung,Galaxy S6 Edge+,3000,5.7,Yes,1440,2560,8,4000,32,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,17999,768.00 ,
204,Samsung Galaxy Note 5,Samsung,Galaxy Note 5,3000,5.7,Yes,1440,2560,8,4000,32,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,14999,700.00 ,
205,Motorola Moto X Play,Motorola,Moto X Play,3630,5.5,Yes,1080,1920,8,2000,16,21,5,Android,Yes,Yes,Yes,2,Yes,Yes,7990,300.00 ,
206,Motorola Moto G (Gen 3),Motorola,Moto G (Gen 3),2470,5,Yes,720,1280,4,1000,8,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,10999,180.00 ,
207,Honor 7,Honor,7,3100,5.2,Yes,1080,1920,8,3000,16,20,8,Android,Yes,Yes,Yes,1,Yes,Yes,15999,370.00 ,
208,Asus ZenFone Selfie,Asus,ZenFone Selfie,3000,5.5,Yes,1080,1920,8,2000,16,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,14999,280.00 ,
209,LG G4,LG,G4,3000,5.5,Yes,1440,2560,6,3000,32,16,8,Android,Yes,Yes,Yes,1,Yes,Yes,13299,600.00 ,
210,Xiaomi Mi 4i,Xiaomi,Mi 4i,3120,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,12999,200.00 ,
211,Lenovo K3 Note,Lenovo,K3 Note,2900,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999,150.00 ,
212,Motorola Moto Turbo,Motorola,Moto Turbo,3900,5.2,Yes,1440,2560,4,3000,64,21,2,Android,Yes,Yes,Yes,1,Yes,Yes,31999,500.00 ,
213,Gionee Elife S7,Gionee,Elife S7,2700,5.2,Yes,1080,1920,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,15999,400.00 ,
214,Lenovo Vibe Shot,Lenovo,Vibe Shot,2900,5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,9799,350.00 ,
215,Samsung Galaxy S6 Edge,Samsung,Galaxy S6 Edge,2600,5.1,Yes,1440,2560,8,3000,32,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,25999,750.00 ,
216,Honor 6 Plus,Honor,6 Plus,3600,5.5,Yes,1080,1920,8,3000,32,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,26499,400.00 ,
217,HTC Desire 820s,HTC,Desire 820s,2600,5.5,Yes,720,1280,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,25500,300.00 ,
218,HTC One (M8 Eye),HTC,One (M8 Eye),2600,5,Yes,1080,1920,4,2000,16,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,28500,500.00 ,
219,Google Nexus 6,Motorola,Google Nexus 6,3220,5.96,Yes,1440,2560,4,3000,32,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,13490,649.00 ,
220,HTC Desire Eye,HTC,Desire Eye,2400,5.2,Yes,1080,1920,4,2000,16,13,13,Android,Yes,Yes,Yes,1,Yes,Yes,10990,550.00 ,
221,BlackBerry Passport,BlackBerry,Passport,3450,4.5,Yes,1440,1440,4,3000,32,13,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,15999,599.00 ,
222,Apple iPhone 6 Plus,Apple,iPhone 6 Plus,2915,5.5,Yes,1080,1920,1,1000,16,8,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,23999,749.00 ,
223,Apple iPhone 6,Apple,iPhone 6,1810,4.7,Yes,750,1334,2,1000,16,8,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,15999,649.00 ,
224,Motorola Moto X (Gen 2),Motorola,Moto X (Gen 2),2300,5.2,Yes,1080,1920,4,2000,16,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,23999,500.00 ,
225,Motorola Moto G (Gen 2),Motorola,Moto G (Gen 2),2070,5,Yes,720,1280,4,1000,16,8,2,Android,Yes,Yes,Yes,2,Yes,No,13500,180.00 ,
226,Sony Xperia Z3 Compact,Sony,Xperia Z3 Compact,2600,4.6,Yes,720,1280,4,2000,16,20.7,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,38990,530.00 ,
227,Samsung Galaxy Note 4,Samsung,Galaxy Note 4,3220,5.7,Yes,1440,2560,4,3000,32,16,3.7,Android,Yes,Yes,Yes,1,Yes,Yes,27900,700.00 ,
228,Samsung Galaxy Note Edge,Samsung,Galaxy Note Edge,3000,5.6,Yes,1600,2560,4,3000,32,16,3.7,Android,Yes,Yes,Yes,1,Yes,Yes,29950,870.00 ,
229,Xiaomi Mi 4,Xiaomi,Mi 4,3080,5,Yes,1080,1920,4,3000,16,13,8,Android,Yes,Yes,Yes,1,Yes,No,7987,320.00 ,
230,Lenovo Vibe Z2 Pro,Lenovo,Vibe Z2 Pro,4000,6,Yes,1440,2560,4,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,29999,500.00 ,
231,OnePlus One,OnePlus,One,3100,5.5,Yes,1080,1920,4,3000,16,13,5,Cyanogen,Yes,Yes,Yes,1,Yes,Yes,21999,299.00 ,
232,Samsung Galaxy S5,Samsung,Galaxy S5,2800,5.1,Yes,1080,1920,8,2000,16,16,2,Android,Yes,Yes,Yes,1,Yes,Yes,33999,650.00 ,
233,Sony Xperia Z2,Sony,Xperia Z2,3200,5.2,Yes,1080,1920,4,3000,16,20.7,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,35990,600.00 ,
234,Sony Xperia Z1 Compact,Sony,Xperia Z1 Compact,2300,4.3,Yes,720,1280,4,2000,16,20.7,2,Android,Yes,Yes,Yes,1,Yes,Yes,11999,550.00 ,
235,Gionee Elife E7,Gionee,Elife E7,2500,5.5,Yes,1080,1920,4,2000,16,16,8,Android,Yes,Yes,Yes,1,Yes,Yes,3699,440.00 ,
236,Samsung Galaxy Grand 2,Samsung,Galaxy Grand 2,2600,5.2,Yes,720,1280,4,1000,8,8,1.9,Android,Yes,Yes,Yes,2,Yes,Yes,15999,370.00 ,
237,Motorola Moto G,Motorola,Moto G,2070,4.5,Yes,720,1280,4,1000,8,5,1.3,Android,Yes,Yes,Yes,2,Yes,No,9999,180.00 ,
238,Google Nexus 5,LG,Google Nexus 5,2300,4.95,Yes,1080,1920,4,2000,16,8,1.3,Android,Yes,Yes,Yes,1,Yes,Yes,12000,349.00 ,
239,Nokia Lumia 1520,Nokia,Lumia 1520,3400,6,Yes,1080,1920,4,2000,32,20,1.2,Windows,Yes,Yes,Yes,1,Yes,Yes,34990,549.00 ,
240,Apple iPhone 5c,Apple,iPhone 5c,1507,4,Yes,640,1136,2,1000,8,8,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,8499,549.00 ,
241,Xiaomi Mi 3,Xiaomi,Mi 3,3050,5,Yes,1080,1920,4,2000,16,13,2,Android,Yes,Yes,Yes,1,Yes,No,13999,330.00 ,
242,Samsung Galaxy Note 3,Samsung,Galaxy Note 3,3200,5.7,Yes,1080,1920,8,3000,32,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,50650,700.00 ,
243,Sony Xperia Z1,Sony,Xperia Z1,3000,5,Yes,1080,1920,1,2000,16,20.7,2,Android,Yes,Yes,Yes,1,Yes,Yes,56699,670.00 ,
244,LG G2,LG,G2,3000,5.2,Yes,1080,1920,4,2000,16,13,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,22499,600.00 ,
245,Motorola Moto X,Motorola,Moto X,2200,4.7,Yes,720,1280,2,2000,16,10,2,Android,Yes,Yes,Yes,1,Yes,Yes,15000,580.00 ,
246,Sony Xperia Z,Sony,Xperia Z,2330,5,Yes,1080,1920,4,2000,16,13.1,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,32490,630.00 ,
247,Samsung Galaxy S III,Samsung,Galaxy S III,2100,4.8,Yes,720,1280,4,1000,16,8,1.9,Android,Yes,Yes,Yes,1,Yes,Yes,5999,600.00 ,
248,Samsung Galaxy S4,Samsung,Galaxy S4,2600,5,Yes,1080,1920,8,2000,16,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,57915,650.00 ,
249,Nokia Lumia 920,Nokia,Lumia 920,2000,4.5,Yes,768,1280,2,1000,32,8.7,1.3,Windows,Yes,Yes,Yes,1,Yes,No,8999,450.00 ,
250,Oppo F15,Oppo,F15,4000,6.4,Yes,1080,2400,8,8000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,18690,280.00 ,
251,Vivo S1 Pro,Vivo,S1 Pro,4500,6.38,Yes,1080,2340,8,8000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,18599,280.00 ,
252,Motorola Moto G8 Plus,Motorola,Moto G8 Plus,4000,6.3,Yes,1080,2280,8,4000,64,48,25,Android,Yes,Yes,Yes,2,Yes,Yes,12999,310.00 ,
253,Motorola One Macro,Motorola,One Macro,4000,6.2,Yes,720,1520,8,4000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8999,140.00 ,
254,Vivo U10,Vivo,U10,5000,6.35,Yes,720,1544,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8990,125.00 ,
255,Redmi 8A,Xiaomi,Redmi 8A,5000,6.22,Yes,720,1520,8,2000,32,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,6499,110.00 ,
256,Oppo A9 2020,Oppo,A9 2020,5000,6.5,Yes,720,1600,8,4000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,14730,240.00 ,
257,Samsung Galaxy M10s,Samsung,Galaxy M10s,4000,6.4,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8499,125.00 ,
258,Infinix Hot 8,Infinix,Hot 8,5000,6.52,Yes,720,1600,8,4000,64,13,8,Android,Yes,Yes,Yes,2,No,No,8000,100.00 ,
259,Redmi Note 8,Xiaomi,Redmi Note 8,4000,6.3,Yes,1080,2280,8,3000,32,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,9195,140.00 ,
260,Redmi 8,Xiaomi,Redmi 8,5000,6.22,Yes,720,1520,8,4000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,7999,115.00 ,
261,Realme 3i,Realme,3i,4230,6.2,Yes,720,1520,8,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,6999,130.00 ,
262,Infinix Hot 7,Infinix,Hot 7,4000,6.19,Yes,720,1500,8,4000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,9990,100.00 ,
263,Honor 9X,Honor,9X,4000,6.59,Yes,1080,2340,8,4000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,13999,200.00 ,
264,Motorola One Action,Motorola,One Action,3500,6.3,Yes,1080,2520,8,4000,128,12,12,Android,Yes,Yes,Yes,2,Yes,Yes,9999,260.00 ,
265,LG W30,LG,W30,4000,6.26,Yes,720,1520,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,8499,130.00 ,
266,Infinix Hot 7 Pro,Infinix,Hot 7 Pro,4000,6.19,Yes,720,1500,8,6000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,10999,120.00 ,
267,Redmi 7A,Xiaomi,Redmi 7A,4000,5.45,Yes,720,1440,8,2000,16,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,5499,80.00 ,
268,Infinix S4,Infinix,S4,4000,6.21,Yes,720,1520,8,3000,32,13,32,Android,Yes,Yes,Yes,2,No,No,7999,140.00 ,
269,Vivo Y17,Vivo,Y17,5000,6.35,Yes,720,1544,8,4000,128,13,20,Android,Yes,Yes,Yes,2,No,No,11490,260.00 ,
270,Infinix Smart 3 Plus,Infinix,Smart 3 Plus,3500,6.21,Yes,720,1520,4,2000,32,13,8,Android,Yes,Yes,No,2,No,No,6999,90.00 ,
271,Oppo A1k,Oppo,A1k,4000,6.1,Yes,720,1560,8,2000,32,8,5,Android,Yes,Yes,No,2,No,No,6670,120.00 ,
272,Oppo A5s,Oppo,A5s,4230,6.2,Yes,1520,720,8,2000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7935,150.00 ,
273,Xiaomi Redmi Y3,Xiaomi,Redmi Y3,4000,6.26,Yes,720,1520,8,3000,32,12,32,Android,Yes,Yes,Yes,2,Yes,Yes,7999,145.00 ,
274,Realme C2,Realme,C2,4000,6.1,Yes,720,1560,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5999,85.00 ,
275,Honor 20i,Honor,20i,3400,6.21,Yes,1080,2340,8,4000,128,24,32,Android,Yes,Yes,Yes,2,Yes,Yes,10999,240.00 ,
276,Vivo S1,Vivo,S1,4500,6.38,Yes,1080,2340,8,4000,128,16,32,Android,Yes,Yes,Yes,2,No,No,14979,300.00 ,
277,Realme 3,Realme,3,4230,6.2,Yes,720,1520,8,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,8490,125.00 ,
278,Vivo V15,Vivo,V15,4000,6.53,Yes,1080,2340,8,6000,64,12,32,Android,Yes,Yes,Yes,2,Yes,Yes,14990,350.00 ,
279,Redmi Go,Xiaomi,Redmi Go,3000,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4499,90.00 ,
280,Meizu M16th,Meizu,M16th,3010,6,Yes,1080,2160,8,8000,128,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,19990,395.00 ,
281,Asus ZenFone Max M2,Asus,ZenFone Max M2,4000,6.26,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7499,180.00 ,
282,Infinix Note 5 Stylus,Infinix,Note 5 Stylus,4000,5.93,Yes,1080,2160,8,4000,64,16,16,Android,Yes,Yes,Yes,1,No,No,15999,200.00 ,
283,Infinix Hot S3X,Infinix,Hot S3X,4000,6.2,Yes,720,1500,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,10999,150.00 ,
284,Asus ZenFone Lite L1 (ZA551KL),Asus,ZenFone Lite L1 (ZA551KL),3000,5.45,Yes,720,1440,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,100.00 ,
285,Asus ZenFone Max M1 (ZB556KL),Asus,ZenFone Max M1 (ZB556KL),4000,5.45,Yes,720,1440,8,3000,32,13,8,Android,Yes,Yes,No,2,Yes,Yes,5999,125.00 ,
286,Lenovo K9,Lenovo,K9,3000,5.7,Yes,720,1440,8,3000,32,13,13,Android,Yes,Yes,No,1,No,No,5899,120.00 ,
287,Nokia 3.1 Plus,Nokia,3.1 Plus,3500,6,Yes,720,1440,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6850,160.00 ,
288,Honor 8C,Honor,8C,4000,6.26,Yes,720,1520,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7999,180.00 ,
289,Panasonic Eluga X1 Pro,Panasonic,Eluga X1 Pro,3000,6.18,Yes,1080,2246,8,6000,128,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,29999,300.00 ,
290,Realme C1,Realme,C1,4230,6.2,Yes,720,1520,8,2000,16,13,5,Android,Yes,Yes,No,1,No,No,7990,100.00 ,
291,BlackBerry KEY2 LE,BlackBerry,KEY2 LE,3000,4.5,Yes,1080,1620,8,4000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,22990,400.00 ,
292,Realme 2,Realme,2,4230,6.2,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8890,130.00 ,
293,Infinix Note 5,Infinix,Note 5,4500,5.99,Yes,1080,2160,8,3000,32,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,5850,200.00 ,
294,Oppo F9 Pro,Oppo,F9 Pro,3500,6.3,Yes,1080,2340,8,6000,64,16,25,Android,Yes,Yes,Yes,2,Yes,Yes,17990,350.00 ,
295,Oppo F9,Oppo,F9,3500,6.3,Yes,1080,2340,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,11994,330.00 ,
296,Honor 9N,Honor,9N,3000,5.84,Yes,1080,2280,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,7499,200.00 ,
297,Huawei Nova 3i,Huawei,Nova 3i,3340,6.3,Yes,1080,2340,8,4000,128,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,21999,300.00 ,
298,Huawei Nova 3,Huawei,Nova 3,3750,6.3,Yes,1080,2340,8,6000,128,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,15999,450.00 ,
299,Xiaomi Redmi 6 Pro,Xiaomi,Redmi 6 Pro,4000,5.84,Yes,1080,2280,8,3000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,8290,150.00 ,
300,Xiaomi Redmi 6A,Xiaomi,Redmi 6A,3000,5.45,Yes,720,1440,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5699,100.00 ,
301,Xiaomi Redmi Y2,Xiaomi,Redmi Y2,3080,5.99,Yes,720,1440,8,3000,32,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,7999,150.00 ,
302,Tecno Camon iClick,Tecno,Camon iClick,3750,6,Yes,720,1440,8,4000,64,16,20,Android,Yes,Yes,Yes,2,Yes,Yes,7420,200.00 ,
303,Redmi 6,Xiaomi,Redmi 6,3000,5.45,Yes,720,1440,8,3000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,7180,125.00 ,
304,Samsung Galaxy J8,Samsung,Galaxy J8,3500,6,Yes,720,1440,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,15499,280.00 ,
305,Samsung Galaxy J6,Samsung,Galaxy J6,3000,5.6,Yes,720,1480,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,9490,210.00 ,
306,Samsung Galaxy A6+,Samsung,Galaxy A6+,3500,6,Yes,1080,2220,8,4000,64,16,24,Android,Yes,Yes,Yes,1,No,No,15999,370.00 ,
