Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
Swipe Konnect Plus,Swipe,Konnect Plus,3000,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,2990,$70 ,16-Aug,90.16,4.50158587
Lava X38,Lava,X38,4000,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,6199,$90 ,16-Aug,115.92,4.752900298
Intex Aqua Strong 5.1,Intex,Aqua Strong 5.1,2800,5,Yes,480,854,1,1000,8,5,2,Android,No,Yes,Yes,2,Yes,Yes,4600,$60 ,16-Aug,77.28,4.34743519
Lenovo Vibe K5 Note,Lenovo,Vibe K5 Note,3500,5.5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7990,$180 ,16-Aug,231.84,5.446047479
Panasonic Eluga Arc 2,Panasonic,Eluga Arc 2,2450,5,Yes,720,1280,4,3000,32,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,5599,$180 ,16-Aug,231.84,5.446047479
Coolpad Note 3S,Coolpad,Note 3S,2500,5.5,Yes,720,1080,8,3000,32,13,5,Android,Yes,Yes,No,2,Yes,Yes,8990,$150 ,16-Dec,193.2,5.263725922
Lenovo K6 Note,Lenovo,K6 Note,4000,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,8890,$210 ,16-Dec,270.48,5.600198158
Panasonic Eluga Prim,Panasonic,Eluga Prim,2500,5,Yes,720,1280,4,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8440,$150 ,16-Dec,193.2,5.263725922
Lyf Water 3,Lyf,Water 3,3000,5.5,Yes,720,1280,8,2000,16,13,5,Android,No,Yes,Yes,2,No,Yes,7000,$135 ,16-Dec,173.88,5.158365406
Lyf F1S,Lyf,F1S,3000,5.2,Yes,1080,1920,8,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,7599,$150 ,16-Dec,193.2,5.263725922
Karbonn K9 Viraat 4G,Karbonn,K9 Viraat 4G,2800,5.5,Yes,720,1280,4,1000,8,5,3.2,Android,Yes,Yes,Yes,2,Yes,Yes,5900,$80 ,16-Dec,103.04,4.635117262
Lyf Wind 7S,Lyf,Wind 7S,2250,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,6099,$90 ,16-Dec,115.92,4.752900298
LG Stylus 3,LG,Stylus 3,3200,5.7,Yes,720,1280,8,3000,16,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,6999,$220 ,16-Dec,283.36,5.646718174
LG K8 (2017),LG,K8 (2017),2500,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7450,$150 ,16-Dec,193.2,5.263725922
Zuk Edge,Zuk,Edge,3100,5.5,Yes,1080,1920,4,4000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,29124,$330 ,16-Dec,425.04,6.052183282
Zen Cinemax Click,Zen,Cinemax Click,2700,5.5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3899,$100 ,16-Dec,128.8,4.858260814
Lava A76+,Lava,A76+,1850,4.5,Yes,480,800,4,1000,8,5,5,Android,Yes,Yes,Yes,2,No,No,5599,$70 ,16-Dec,90.16,4.50158587
Swipe Elite Max,Swipe,Elite Max,3000,5.5,Yes,1080,1920,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,12999,$180 ,16-Dec,231.84,5.446047479
Panasonic P88,Panasonic,P88,2600,5.3,Yes,720,1280,4,2000,16,13,5,Android,Yes,No,Yes,2,Yes,Yes,8000,$140 ,16-Dec,180.32,5.19473305
Swipe Elite Star,Swipe,Elite Star,2000,4,Yes,480,800,4,1000,8,5,1.3,Android,Yes,Yes,Yes,2,Yes,Yes,3999,$70 ,16-Dec,90.16,4.50158587
Gionee P7,Gionee,P7,2300,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,No,Yes,2,No,No,7499,$130 ,16-Dec,167.44,5.120625078
Micromax Vdeo 2,Micromax,Vdeo 2,1800,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,4950,$60 ,16-Dec,77.28,4.34743519
Micromax Vdeo 1,Micromax,Vdeo 1,1600,4,Yes,480,800,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,4499,$50 ,16-Dec,64.4,4.165113633
Meizu M5 Note,Meizu,M5 Note,4000,5.5,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,2,No,Yes,5490,$130 ,16-Dec,167.44,5.120625078
Xiaomi Mi 5,Xiaomi,Mi 5,3000,5.15,Yes,1080,1920,4,3000,32,16,4,Android,Yes,Yes,Yes,2,Yes,Yes,24999,$305 ,16-Feb,392.84,5.973402404
Lenovo Vibe K5,Lenovo,Vibe K5,2750,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5999,$150 ,16-Feb,193.2,5.263725922
Lenovo Vibe K5 Plus,Lenovo,Vibe K5 Plus,2750,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7999,$180 ,16-Feb,231.84,5.446047479
Xolo Era 4K,Xolo,Era 4K,4000,5,Yes,720,1280,4,2000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,$130 ,16-Feb,167.44,5.120625078
LG X screen,LG,X screen,2300,4.93,Yes,720,1280,4,2000,16,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,7990,$300 ,16-Feb,386.4,5.956873102
InFocus Bingo 21,InFocus,Bingo 21,2300,4.5,Yes,850,480,4,2000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3740,$80 ,16-Feb,103.04,4.635117262
Karbonn Quattro L50 HD,Karbonn,Quattro L50 HD,2600,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,3999,$140 ,16-Feb,180.32,5.19473305
Reach Opulent,Reach,Opulent,2500,5,Yes,720,1280,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,2690,$70 ,16-Feb,90.16,4.50158587
Intex Cloud Gem+,Intex,Cloud Gem+,1400,4,Yes,480,800,4,512,4,2,2,Android,Yes,Yes,Yes,2,Yes,No,2199,$60 ,16-Feb,77.28,4.34743519
Lava V2s,Lava,V2s,2500,5,Yes,720,1280,4,2000,8,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,4500,$120 ,16-Feb,154.56,5.04058237
Lava A52,Lava,A52,1200,4,Yes,480,800,2,512,4,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,1999,$60 ,16-Feb,77.28,4.34743519
Lava Flair S1,Lava,Flair S1,1750,4.5,Yes,480,854,2,512,8,3.2,0.3,Android,Yes,Yes,Yes,2,Yes,No,1999,$60 ,16-Feb,77.28,4.34743519
Intex Aqua Twist,Intex,Aqua Twist,2200,5,Yes,480,854,4,1000,8,5,0,Android,Yes,Yes,Yes,2,Yes,No,3499,$85 ,16-Feb,109.48,4.695741884
mPhone 8,mPhone,8,3050,5.5,Yes,1080,1920,8,4000,64,21,8,Android,Yes,Yes,Yes,2,Yes,Yes,6499,$300 ,16-Feb,386.4,5.956873102
mPhone 7 Plus,mPhone,7 Plus,2600,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,7399,$250 ,16-Feb,322,5.774551546
Intex Cloud Breeze,Intex,Cloud Breeze,2300,5,Yes,480,854,2,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,2999,$70 ,16-Feb,90.16,4.50158587
Blu Life Mark,Blu,Life Mark,2300,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7999,$90 ,16-Feb,115.92,4.752900298
Zopo Speed 8,Zopo,Speed 8,3600,5.5,Yes,1080,1920,10,4000,32,21,8,Android,Yes,Yes,Yes,2,Yes,Yes,9980,$300 ,16-Feb,386.4,5.956873102
Xolo Era X,Xolo,Era X,2500,5,Yes,720,1280,4,2000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4559,$90 ,16-Feb,115.92,4.752900298
Intex Aqua Fish,Intex,Aqua Fish,2500,5,Yes,720,1280,4,2000,16,8,2,Sailfish,Yes,Yes,Yes,2,Yes,Yes,4799,$90 ,16-Feb,115.92,4.752900298
ZTE Blade V7 Lite,ZTE,Blade V7 Lite,2500,5,Yes,720,1280,4,2000,16,8,8,Android,Yes,Yes,Yes,1,Yes,Yes,3840,$150 ,16-Feb,193.2,5.263725922
Sony Xperia X,Sony,Xperia X,2620,5,Yes,1080,1920,1,3000,32,23,13,Android,Yes,Yes,Yes,1,Yes,Yes,19990,$600 ,16-Feb,772.8,6.650020283
Sony Xperia XA,Sony,Xperia XA,2300,5,Yes,720,1280,8,2000,16,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,7994,$400 ,16-Feb,515.2,6.244555175
HTC Desire 825,HTC,Desire 825,2700,5.5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7890,$280 ,16-Feb,360.64,5.887880231
HTC Desire 630,HTC,Desire 630,2200,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,10299,$200 ,16-Feb,257.6,5.551407994
HP Elite x3,HP,Elite x3,4150,5.96,Yes,1440,2560,4,4000,64,15,8,Windows,Yes,Yes,Yes,1,Yes,Yes,88719,$700 ,16-Feb,901.6,6.804170963
