asin,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
B08PMYLKVF,,,,,,,,,,1187.8,1139.61,1007.3,914.73,763.38,716.15,676.83,530.44,516.17,501.19,506.2,410.55,375.18,361.96,369.74,361.64,314.21,294.39
B08PN8R5HT,,,,,,,,,,1532.5,1546.56,1455.56,1010.15,884.96,851.78,814.27,656.7,634.37,629.03,603.85,521.2,455.58,420.51,435.3,423.95,365.77,330.71
B08PNHB9L7,,,,,,,,,,1350,1284.42,1147,937.92,800.81,751.77,714.65,558.09,534.79,556.46,527.26,459.57,395.08,382.24,398.41,378.47,336.04,309.33
B08PNKN4J7,,,,,,,,,,720.35,722.1,633.3,580.07,532.99,489.07,482.64,408.06,351.18,350.73,345.54,313.75,266.94,246.64,248.17,244.64,210.79,197.3
B08PNM1LNZ,,,,,,,,,,783.23,739.35,699.4,686.08,585.48,512.67,496.03,426.8,378.34,370.65,363.2,310.25,278.82,263.06,269.91,263.64,221.77,206.05
B08PNXVB6B,,,,,,,,,,,803.71,806.44,760.76,648.66,601.83,571.91,480.24,422.89,407.32,415.46,353.45,317.22,302.75,307.91,299.77,260.98,244.57
B08PP2GVNZ,,,,,,,,,,949.99,909.49,908.34,837.09,713.89,647.21,646.84,524.26,468.48,433.16,462.33,391.29,356.72,332.15,346.81,330.6,286.31,258.7
B08PP8943S,,,,,,,,,,809.65,800.99,697.22,656.04,572.71,544.5,521.55,473.32,404.63,377.35,385.7,354.17,303.75,286.01,282.47,277.11,241.28,212.96
B08PPDJWC8,,,,,,,,,,657.19,637.29,568.96,520.76,465.65,417.66,420.93,384.25,311.64,297.05,305,280.79,240.65,215.36,218.65,216.46,190.8,177.35
B08R6MQ7BQ,,,,,,,,,,415.14,364.66,303.72,278.38,284.39,272.05,238.48,251.25,234.46,220.48,206.5,225.03,179.5,168.78,163.09,168,177.1,167.95
B08XJVZT4R,,,,,,,,,,268.04,277.14,251.8,228.66,223.43,237.5,202.9,177.94,167.71,160.85,156.67,154.88,145.28,128.04,141.62,127.98,130.98,116.5
B093GS36QT,,,,,,,,,,,,860.59,776.35,701.16,615.54,459.62,423.81,422.18,399.24,411.55,375.06,313.84,353.5,298.58,305.77,314.83,344.01
B093YSSN6T,,,,,,,,,,,641.17,580.46,555.58,476.53,432.73,372.03,308.18,251.72,245.82,265.06,246.03,219.94,189.59,212.03,190.61,177.85,186.41
B093ZCPS14,,,,,,,,,,,650,643.32,665.88,620.2,525.93,429.15,341.09,309.99,271.39,280.14,282.19,274.86,255.61,245.34,237.48,232.45,241.47
B099RPX1SG,,,,,,,,,,,,,,426.25,427.76,386.99,387.49,387.39,,,,,334.49,299.74,264.99,177.64,
B09BM2FZ3M,,,,,,,,,,,,195.83,189.89,178.19,174.6,161.82,146.45,128.27,120.35,110.35,105.98,97.68,93.98,78.21,78.86,84.88,88.92
B09D1BCGPP,,,,,,,,,,,,143.3,141.99,156.36,140.45,126.63,110.2,103.89,104.98,113.42,89.33,83.85,79.89,77.77,86.66,79.97,
B09LKLGWYX,,,,,,,,,,,,,,919.53,828.4,771.14,797.28,682.65,643.3,695.05,678.96,564.74,524.23,499.31,451.12,424.64,426.22
B09LKM34XN,,,,,,,,,,,,,,770.81,702.65,697.81,613.4,574.04,518.28,549.48,504.58,435.14,415.94,404.48,366.11,324.47,320.86
B09LKXHWCF,,,,,,,,,,,,,686.24,641.35,618.94,613.64,562.46,484.32,472.62,472,446.86,389.49,343.6,348.15,320.86,280.88,268.28
B09LNCVCKW,,,,,,,,,,,,,,856.88,834,784.41,693.2,651.98,630.84,607.35,516.94,444.38,420.38,449.54,407.19,334.09,315.74
B09LNKXBRJ,,,,,,,,,,,,,,784.31,778.23,747.14,663.76,603.91,591.92,562.92,494.65,407.23,392.95,406.31,375.69,312.08,292.12
B09LNZDS6Y,,,,,,,,,,,,,,956.23,915.9,889.75,821.38,747.75,739.12,705.54,623.07,533.78,516.02,521.86,461.92,390.04,372.34
B09LP988K8,,,,,,,,,,,,,,1640,1380.35,1157.12,978.73,894.85,882.92,825.2,667.82,605.55,605.69,590.55,536.32,447.15,428.14
B09LPB9SQH,,,,,,,,,,,,,1300,1293.1,1028.98,950.42,823.55,803.18,782.5,714.76,569.47,505.55,493.8,505.32,460.98,391.29,369.37
B09LPF7KC7,,,,,,,,,,,,,,1519.37,1354.06,1264.07,1000.97,949.22,920.79,862.35,682.98,629.6,640.38,631.37,568.33,506.76,487.18
B09LPGFVYR,,,,,,,,,,,,,,1750,1631.9,1401.9,1110.96,1061.23,994.57,894.7,741.73,682.02,674.7,677.53,601.54,538.57,532.5
B09LPK77YY,,,,,,,,,,,,,1400,1411.17,1191.63,1132.84,919.21,884.06,864.07,803.56,649.64,588.48,576.21,590.27,534.61,462.84,439.42
B09LPN7C8Z,,,,,,,,,,,,,1433.33,1427.55,1185.74,1084.54,946.46,865.8,839.16,747.88,606.84,541.11,532.48,544.98,480.4,423.61,401.87
B09Q1HT5GM,,,,,,,,,,,,,,334.99,320.44,296.15,279.66,278.99,278.77,266.63,254.48,204.85,177.27,188.75,206.76,197.35,144.94
