asin,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
B0C3WN5JZM,,,,,,,,,,,,,,,,1399.99,1384.28,1281.89,1205.08,1198,1065.33,1264.67,1399.99,
B0C5BHVCSJ,,,,,,,,,,,,,,,,134.99,92.58,83.36,81.26,70.36,72.84,70.73,64.3,63.1
B0C7H2HHK1,,,,,,,,,,,,,,,,,,691.35,680.58,661.81,615,554.1,524.21,544.99
B0C8BW1P3Q,,,,,,,,,,,,,,,,419.95,374.55,325.14,295.97,281.1,265.35,214.86,213.58,214.47
B0CCT22LZ4,,,,,,,,,,,,,,,,,,83.23,79.88,109,112.71,106.58,93.61,
B0CF2MZTNR,,,,,,,,,,,,,,,,,407.25,376.35,306.78,269.33,246.59,234.46,240.37,225.27
B0CGWHHC69,,,,,,,,,,,,,,,,,,624.99,599.99,569.99,410.58,410.93,318.32,
B0CKTX18S2,,,,,,,,,,,,,,,,,,433.32,309.99,279.99,287.99,255.59,249.99,
B0CLVNY5BN,,,,,,,,,,,,,,,,,,119.99,100.91,106.37,91.13,114.99,,
B0CP6DDN1H,,,,,,,,,,,,,,,,,,,149.99,134.43,130.95,115.28,108.22,115.31
B0CQMX2D6P,,,,,,,,,,,,,,,,,,,157.71,139.97,136.12,135.1,139.11,
B0CQRSCXC6,,,,,,,,,,,,,,,,,,,1481,1581.92,1263.32,1009.67,858.23,1004.75
B0CRNSY2T5,,,,,,,,,,,,,,,,,,,354.67,313.58,290.8,282.98,290.52,299
B0CSF1LXD8,,,,,,,,,,,,,,,,,,,,159.99,164.99,173.32,156.66,
B0CST9M7RQ,,,,,,,,,,,,,,,,,,,1188.3,1080.2,920.11,843.8,837.48,888.5
B0CTHYTJGP,,,,,,,,,,,,,,,,,,,,508.65,488.27,465.7,452.28,421.95
B0CVYHN9XC,,,,,,,,,,,,,,,,,,,719.54,724.4,666.43,438.84,441.02,479.43
B0CVYKL34H,,,,,,,,,,,,,,,,,,,497.64,442.4,416.2,343.25,303.98,293.2
B0CY2FFJT5,,,,,,,,,,,,,,,,,,,,887,,,821.5,
B0CY2GYZRR,,,,,,,,,,,,,,,,,,,,,769.66,782.18,768.5,814.03
B0CYHMJ9B9,,,,,,,,,,,,,,,,,,,,,,,431,449.5
B0CZB7BVSL,,,,,,,,,,,,,,,,,,,,1105.14,980.52,927.28,907.31,920.12
B0CZTSNZ1G,,,,,,,,,,,,,,,,,,,,,,,415,429.5
B0D1GKRX6Y,,,,,,,,,,,,,,,,,,,,311.9,283.47,224.75,267.73,354.5
B0D2JB6HP5,,,,,,,,,,,,,,,,,,,,549.99,474.99,460.35,388.83,350.34
B0D2L1NNLR,,,,,,,,,,,,,,,,,,,,,,,799.57,817.33
B0D2L42BX9,,,,,,,,,,,,,,,,,,,,,,,679,697
B0D2L6KSCM,,,,,,,,,,,,,,,,,,,,,,,889.57,858.14
B0D3J9NQHL,,,,,,,,,,,,,,,,,,,,,594.99,569.34,541.09,599.23
B0D54XCKK4,,,,,,,,,,,,,,,,,,,,1173.86,1032.91,973.19,981.36,1017.49
B0D5PFR7DK,,,,,,,,,,,,,,,,,,,,399.99,346.83,310.64,322.85,325.22
B0D5ZNWCPP,,,,,,,,,,,,,,,,,,,,444.69,381.29,360.7,365.35,
B0D7G4CWY9,,,,,,,,,,,,,,,,,,,,129,117.13,,,
B0D7HWJDQM,,,,,,,,,,,,,,,,,,,,,770.47,650.84,650.56,637.22
B0D7HXM4HW,,,,,,,,,,,,,,,,,,,,,1359.17,1022.17,999.5,849
B0D7V1G966,,,,,,,,,,,,,,,,,,,,,2557.82,1769,1770,1769
B0D8532G6F,,,,,,,,,,,,,,,,,,,,,249,216.28,183.57,
B0D9PCFZXK,,,,,,,,,,,,,,,,,,,,,98.64,81.37,86.45,101.53
B0DBLPPTNX,,,,,,,,,,,,,,,,,,,,,2370,2043.94,1656.83,1594.5
B0DCGQQ4Z7,,,,,,,,,,,,,,,,,,,,,398.59,349.89,312.1,306.7
B0DF2DMK22,,,,,,,,,,,,,,,,,,,,,,,571,593.5
B0DFGS5NFN,,,,,,,,,,,,,,,,,,,,,,,329,326.33
B0DFKVBS5F,,,,,,,,,,,,,,,,,,,,,294.99,246.67,230.51,220.46
B0DFYGCQ53,,,,,,,,,,,,,,,,,,,,,,,352.33,372
B0DFYGK2W3,,,,,,,,,,,,,,,,,,,,,,,335,339.67
B0DHG8MCP4,,,,,,,,,,,,,,,,,,,,,,,1063.9,903.8
B0DHRY1L35,,,,,,,,,,,,,,,,,,,,,,566.38,514.9,512.75
B0DJFYK3W1,,,,,,,,,,,,,,,,,,,,,,744.75,643.83,641
B0DJGVPR43,,,,,,,,,,,,,,,,,,,,,,1142,1046.33,
B0DJRC82TP,,,,,,,,,,,,,,,,,,,,,,161.66,124.99,
B0DJVTCZWK,,,,,,,,,,,,,,,,,,,,,,162.49,119.99,
B0DK2GRSVF,,,,,,,,,,,,,,,,,,,,,,1189.91,1113.29,1069.44
B0DK2J6WMX,,,,,,,,,,,,,,,,,,,,,,1346.78,1336.46,1394.99
B0DK4D3252,,,,,,,,,,,,,,,,,,,,,,364.53,314.39,280.4
B0DKB1CPQY,,,,,,,,,,,,,,,,,,,,,,159.99,120.59,139
B0DMWT1R2K,,,,,,,,,,,,,,,,,,,,,,1274.23,1269.23,1240.02
B0DNG111BT,,,,,,,,,,,,,,,,,,,,,,911.39,845.24,828.5
B0DP5FW9QQ,,,,,,,,,,,,,,,,,,,,,,,299.99,297.65
B0DPZF38GM,,,,,,,,,,,,,,,,,,,,,,,399,397.67
B0DR7Z1NNB,,,,,,,,,,,,,,,,,,,,,,,389.53,419.99
B0DRVRSNZ6,,,,,,,,,,,,,,,,,,,,,,,382.6,394.5
B0DSH2MHLP,,,,,,,,,,,,,,,,,,,,,,,183.86,209.99
B0DSH3XJZ4,,,,,,,,,,,,,,,,,,,,,,,216.98,205.84
B0DSQXGQTW,,,,,,,,,,,,,,,,,,,,,,,278.69,275.27
B0DSQZX1C5,,,,,,,,,,,,,,,,,,,,,,,384.58,380.81
B0DSR9FNLJ,,,,,,,,,,,,,,,,,,,,,,,455.14,459.87
B0DSRC2SQD,,,,,,,,,,,,,,,,,,,,,,,318.11,350.88
B0DVMTPBY9,,,,,,,,,,,,,,,,,,,,,,,271.5,279
B0DXPT2B26,,,,,,,,,,,,,,,,,,,,,,,569.99,
B0DXPVNCYB,,,,,,,,,,,,,,,,,,,,,,,284.99,
B0DXPVT3X1,,,,,,,,,,,,,,,,,,,,,,,519.99,
B0DY19NW3Q,,,,,,,,,,,,,,,,,,,,,,,364.99,
B0DY19X7Y4,,,,,,,,,,,,,,,,,,,,,,,213.99,169.99
B0DY1D249P,,,,,,,,,,,,,,,,,,,,,,,566.66,
B0DY1DJ8X2,,,,,,,,,,,,,,,,,,,,,,,384.99,
B0DY1G9Y28,,,,,,,,,,,,,,,,,,,,,,,214.99,
