Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
Samsung Galaxy S6,Samsung,Galaxy S6,2550,5.1,Yes,1440,2560,8,3000,32,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,25999,$600 ,15-Apr,786,6.666956792
LG G4,LG,G4,3000,5.5,Yes,1440,2560,6,3000,32,16,8,Android,Yes,Yes,Yes,1,Yes,Yes,13299,$600 ,15-Apr,786,6.666956792
Xiaomi Mi 4i,Xiaomi,Mi 4i,3120,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,12999,$200 ,15-Apr,262,5.568344504
Honor 4C,Honor,4C,2550,5,Yes,720,1280,8,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,No,8999,$140 ,15-Apr,183.4,5.21166956
Lenovo A6000 Plus,Lenovo,A6000 Plus,2300,5,Yes,720,1280,4,2000,16,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,6399,$120 ,15-Apr,157.2,5.05751888
Micromax Canvas Spark,Micromax,Canvas Spark,2000,4.7,Yes,540,960,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,5999,$100 ,15-Apr,131,4.875197323
BlackBerry Leap,BlackBerry,Leap,2800,5,Yes,720,1280,2,2000,16,8,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,7200,$275 ,15-Apr,360.25,5.886798235
Samsung Galaxy S6 Edge+,Samsung,Galaxy S6 Edge+,3000,5.7,Yes,1440,2560,8,4000,32,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,17999,$768 ,15-Aug,1006.08,6.91381687
Samsung Galaxy Note 5,Samsung,Galaxy Note 5,3000,5.7,Yes,1440,2560,8,4000,32,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,14999,$700 ,15-Aug,917,6.821107472
Motorola Moto X Play,Motorola,Moto X Play,3630,5.5,Yes,1080,1920,8,2000,16,21,5,Android,Yes,Yes,Yes,2,Yes,Yes,7990,$300 ,15-Aug,393,5.973809612
Xiaomi Redmi 2 Prime,Xiaomi,Redmi 2 Prime,2200,4.7,Yes,720,1280,4,2000,16,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,6999,$110 ,15-Aug,144.1,4.970507503
