Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
Asus ZenFone Max Pro M1,Asus,ZenFone Max Pro M1,5000,5.99,Yes,1080,2160,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,9990,$200 ,18-Apr,248.8,5.516649361
Huawei P20 Pro,Huawei,P20 Pro,4000,6.1,Yes,1080,2240,8,4000,64,40,24,Android,Yes,Yes,Yes,2,No,Yes,49990,$899 ,18-Apr,1118.356,7.019615029
Nokia 8 Sirocco,Nokia,8 Sirocco,3260,5.5,Yes,1440,2560,8,6000,128,12,5,Android,Yes,Yes,Yes,1,Yes,Yes,13999,$750 ,18-Apr,933,6.838405201
Nubia Red Magic,Nubia,Red Magic,3800,6,Yes,1080,2160,8,8000,128,24,8,Android,Yes,Yes,Yes,2,Yes,Yes,24860,$400 ,18-Apr,497.6,6.209796541
InFocus Vision 3 Pro,InFocus,Vision 3 Pro,4000,5.7,Yes,720,1440,8,4000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,7990,$150 ,18-Apr,186.6,5.228967288
Panasonic Eluga Ray 550,Panasonic,Eluga Ray 550,3250,5.7,Yes,720,1440,4,3000,16,13,8,Android,Yes,Yes,No,2,Yes,Yes,5709,$140 ,18-Apr,174.16,5.159974417
Micromax Bharat Go,Micromax,Bharat Go,2000,4.5,Yes,480,854,4,1000,8,5,5,Android,Yes,Yes,Yes,2,Yes,Yes,3789,$50 ,18-Apr,62.2,4.130355
Karbonn Frames S9,Karbonn,Frames S9,2900,5.2,Yes,720,1280,4,2000,16,8,8,Android,Yes,Yes,Yes,2,No,No,6999,$100 ,18-Apr,124.4,4.82350218
Intex Staari 10,Intex,Staari 10,2800,5.2,Yes,720,1280,4,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,$120 ,18-Apr,149.28,5.005823737
Panasonic P95,Panasonic,P95,2300,5,Yes,720,1280,4,1000,16,8,5,Android,Yes,Yes,Yes,2,No,No,3675,$90 ,18-Apr,111.96,4.718141665
Samsung Galaxy J2 (2018),Samsung,Galaxy J2 (2018),2600,5,Yes,540,960,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,6799,$120 ,18-Apr,149.28,5.005823737
Vivo Y53i,Vivo,Y53i,2500,5,Yes,540,960,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,7706,$110 ,18-Apr,136.84,4.91881236
Vivo V9 Youth,Vivo,V9 Youth,3260,6.3,Yes,1080,2280,8,4000,32,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,8990,$300 ,18-Apr,373.2,5.922114469
Moto E5,Motorola,Moto E5,4000,5.7,Yes,720,1440,4,2000,16,13,5,Android,Yes,Yes,No,2,Yes,Yes,7950,$150 ,18-Apr,186.6,5.228967288
Vivo Y71,Vivo,Y71,3360,6,Yes,720,1440,4,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8500,$170 ,18-Apr,211.48,5.354130431
Coolpad A1,Coolpad,A1,2500,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,No,1,No,No,4590,$100 ,18-Apr,124.4,4.82350218
Samsung Galaxy J7 Duo,Samsung,Galaxy J7 Duo,3000,5.5,Yes,720,1280,8,4000,32,13,8,Android,Yes,Yes,Yes,2,No,No,10640,$210 ,18-Apr,261.24,5.565439525
