Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
OnePlus One,OnePlus,One,3100,5.5,Yes,1080,1920,4,3000,16,13,5,Cyanogen,Yes,Yes,Yes,1,Yes,Yes,21999,$299 ,14-Apr,398.2381,5.987050068
Samsung Galaxy S5,Samsung,Galaxy S5,2800,5.1,Yes,1080,1920,8,2000,16,16,2,Android,Yes,Yes,Yes,1,Yes,Yes,33999,$650 ,14-Apr,865.735,6.763578857
Lava Iris Pro 20,Lava,Iris Pro 20,2000,4.7,Yes,540,960,4,1000,4,8,0.3,Android,Yes,Yes,Yes,2,Yes,No,5040,$175 ,14-Apr,233.0825,5.451392468
Xiaomi Mi 4,Xiaomi,Mi 4,3080,5,Yes,1080,1920,4,3000,16,13,8,Android,Yes,Yes,Yes,1,Yes,No,7987,$320 ,14-Aug,426.208,6.05492749
Lenovo Vibe Z2 Pro,Lenovo,Vibe Z2 Pro,4000,6,Yes,1440,2560,4,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,29999,$500 ,14-Aug,665.95,6.501214593
Xolo 8X-1000,Xolo,8X-1000,1920,5,Yes,720,1280,8,2000,16,8,2,Android,Yes,Yes,Yes,2,Yes,No,5499,$200 ,14-Aug,266.38,5.584923861
Spice Stellar 520,Spice,Stellar 520,2000,5,Yes,720,1280,4,1000,4,8,2,Android,Yes,Yes,Yes,2,Yes,No,4999,$150 ,14-Aug,199.785,5.297241788
Xiaomi Redmi 1S,Xiaomi,Redmi 1S,2000,4.7,Yes,720,1280,4,1000,8,8,1.6,Android,Yes,Yes,Yes,2,Yes,No,5999,$100 ,14-Aug,133.19,4.89177668
Xolo Play 8X-1100,Xolo,Play 8X-1100,2100,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,5888,$240 ,14-Aug,319.656,5.767245418
Yu Yureka,Yu,reka,2500,5.5,Yes,720,1280,8,2000,16,13,5,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,3999,$140 ,14-Dec,186.466,5.228248917
Honor 6 Plus,Honor,6 Plus,3600,5.5,Yes,1080,1920,8,3000,32,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,26499,$400 ,14-Dec,532.76,6.278071041
Lava Iris Fuel 60,Lava,Iris Fuel 60,4000,5,Yes,720,1280,4,1000,8,10,2,Android,Yes,Yes,Yes,2,Yes,No,4299,$130 ,14-Dec,173.147,5.154140945
